tissue,tissue_size,overlap,expected,fold,p_value,p_adj
Cells_Cultured_fibroblasts,2006,61,44.1,1.38,0.004284918536938222,0.1858296367751727
Brain_Caudate_basal_ganglia,1316,42,28.9,1.45,0.00844680167159876,0.1858296367751727
Brain_Nucleus_accumbens_basal_ganglia,1299,39,28.6,1.37,0.027207832258531742,0.3102283335900868
Adipose_Subcutaneous,1829,51,40.2,1.27,0.041029349944166,0.3102283335900868
Skin_Not_Sun_Exposed_Suprapubic,2543,68,55.9,1.22,0.04178757269857734,0.3102283335900868
Brain_Hypothalamus,1605,45,35.3,1.27,0.04996484062018828,0.3102283335900868
Brain_Putamen_basal_ganglia,1307,37,28.7,1.29,0.06463032139974109,0.3102283335900868
Minor_Salivary_Gland,1272,36,28.0,1.29,0.06804042672636784,0.3102283335900868
Brain_Cortex,1249,35,27.5,1.27,0.07959712439676106,0.3102283335900868
Brain_Amygdala,1415,39,31.1,1.25,0.08060514272472476,0.3102283335900868
Esophagus_Mucosa,1499,41,33.0,1.24,0.08139052561962688,0.3102283335900868
Brain_Substantia_nigra,1514,41,33.3,1.23,0.09145575361149527,0.3102283335900868
Brain_Hippocampus,1556,42,34.2,1.23,0.0916583712879802,0.3102283335900868
Brain_Spinal_cord_cervical_c.1,1761,46,38.7,1.19,0.11874393976716457,0.3731952392682315
Brain_Anterior_cingulate_cortex_BA24,1206,32,26.5,1.21,0.151913944703978,0.44561423779833553
Brain_Cerebellum,577,16,12.7,1.26,0.2027425010251151,0.5340879931285845
Breast_Mammary_Tissue,912,24,20.1,1.2,0.20635217916331672,0.5340879931285845
Brain_Cerebellar_Hemisphere,638,17,14.0,1.21,0.2402498044186761,0.5872772996900971
Pituitary,863,22,19.0,1.16,0.26526330087516514,0.6142939599214351
Skin_Sun_Exposed_Lower_leg,2763,65,60.8,1.07,0.2882338180479342,0.6341143997054552
Pancreas,927,23,20.4,1.13,0.3030978806396991,0.6350622261022267
Small_Intestine_Terminal_Ileum,1570,37,34.5,1.07,0.3513453453676623,0.6648255349458835
Kidney_Cortex,740,18,16.3,1.11,0.36354126858968683,0.6648255349458835
Colon_Sigmoid,2071,48,45.5,1.05,0.3684663930922497,0.6648255349458835
Adipose_Visceral_Omentum,1463,34,32.2,1.06,0.39254005166318856,0.6648255349458835
Artery_Tibial,2223,51,48.9,1.04,0.39285145246802206,0.6648255349458835
Brain_Frontal_Cortex_BA9,1123,26,24.7,1.05,0.42158780774448207,0.6870319829910078
Muscle_Skeletal,1862,42,41.0,1.03,0.45513317580056317,0.7098717573913724
Stomach,1510,34,33.2,1.02,0.469466978594438,0.7098717573913724
Cells_EBV.transformed_lymphocytes,298,7,6.6,1.07,0.484003470948663,0.7098717573913724
Esophagus_Muscularis,1955,43,43.0,1.0,0.5261498555024198,0.746793343293757
Lung,1206,26,26.5,0.98,0.5738894264201067,0.7729136609195996
Colon_Transverse,1854,40,40.8,0.98,0.5796852456896997,0.7729136609195996
Liver,432,9,9.5,0.95,0.6137236904556995,0.7839086824859057
Artery_Aorta,2300,49,50.6,0.97,0.6235637247046977,0.7839086824859057
Nerve_Tibial,1536,32,33.8,0.95,0.6576597473191143,0.7980850937414119
Heart_Atrial_Appendage,982,20,21.6,0.93,0.6743469636497694,0.7980850937414119
Whole_Blood,1087,22,23.9,0.92,0.6916050586542992,0.7980850937414119
Thyroid,1429,29,31.4,0.92,0.7073936058162514,0.7980850937414119
Heart_Left_Ventricle,837,16,18.4,0.87,0.7559745679836365,0.8315720247820002
Esophagus_Gastroesophageal_Junction,1825,35,40.1,0.87,0.8352219912668086,0.8963357955058434
Adrenal_Gland,669,11,14.7,0.75,0.8766765182494916,0.9050935827048332
Spleen,1039,18,22.9,0.79,0.8845232740069962,0.9050935827048332
Artery_Coronary,2649,47,58.3,0.81,0.9634114743727497,0.9634114743727497
