gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
1514,-1.3026632,0.3355751,-1.6382383,1.042622212921072e-62,1.2853446640890975e-58,CTSL,cathepsin L,protein-coding
25805,2.4995997,0.7225431,1.7770566,1.1782800567832366e-58,7.26291827001187e-55,BAMBI,BMP and activin membrane bound inhibitor,protein-coding
1534,0.3767198,-0.9795486,1.3562684,3.3333367794238815e-42,4.565930646304179e-39,CYB561,cytochrome b561,protein-coding
1848,1.4926187,0.25650737,1.2361113,8.279051289387813e-41,7.851088022736381e-38,DUSP6,dual specificity phosphatase 6,protein-coding
10007,-2.2463713,-1.0502669,-1.1961044,3.4641096474650993e-39,2.5120908078793967e-36,GNPDA1,glucosamine-6-phosphate deaminase 1,protein-coding
5831,-2.1095173,-0.8383927,-1.2711246,5.473362777099632e-39,3.74864535089357e-36,PYCR1,pyrroline-5-carboxylate reductase 1,protein-coding
2625,0.72784126,-0.52219164,1.2500329,4.333504525319347e-37,2.225976824505704e-34,GATA3,GATA binding protein 3,protein-coding
51635,-1.3543015,-0.057557657,-1.2967438,2.4393095079004324e-31,7.517951903349132e-29,DHRS7,dehydrogenase/reductase 7,protein-coding
1891,-1.9409512,-0.7289004,-1.2120509,2.889402219259411e-31,8.687939160739029e-29,ECH1,enoyl-CoA hydratase 1,protein-coding
2745,1.8886307,3.589691,-1.7010602,3.82818811442151e-28,7.374047355404434e-26,GLRX,glutaredoxin,protein-coding
874,-2.0318031,-0.63457817,-1.3972249,4.2333585498836636e-27,6.866953184600763e-25,CBR3,carbonyl reductase 3,protein-coding
8091,-2.2646856,-0.82020813,-1.4444776,1.0402141909493663e-26,1.6654234475355567e-24,HMGA2,high mobility group AT-hook 2,protein-coding
22934,-2.9595616,-1.7826583,-1.1769032,1.2457706164258447e-26,1.9440329315566853e-24,RPIA,ribose 5-phosphate isomerase A,protein-coding
5236,-2.2012668,-1.1233499,-1.0779169,8.024938530499946e-26,1.163899320047098e-23,PGM1,phosphoglucomutase 1,protein-coding
1026,3.4250777,2.117223,1.3078547,5.322970698415351e-21,3.860093104121438e-19,CDKN1A,cyclin dependent kinase inhibitor 1A,protein-coding
10362,1.4938092,0.48614222,1.0076671,5.372976657099278e-20,3.3794926647306073e-18,HMG20B,high mobility group 20B,protein-coding
5909,0.685893,1.767567,-1.0816741,3.8431707994136945e-18,1.7418606476166184e-16,RAP1GAP,RAP1 GTPase activating protein,protein-coding
3486,-0.7676421,0.35722432,-1.1248664,2.2234692335786475e-16,7.36852922353698e-15,IGFBP3,insulin like growth factor binding protein 3,protein-coding
79850,-3.4410453,-2.408032,-1.0330133,3.2243320019889584e-13,6.077915125461755e-12,FAM57A,family with sequence similarity 57 member A,protein-coding
54499,1.898442,0.8926794,1.0057626,1.2285979371436664e-12,2.080515847404824e-11,TMCO1,transmembrane and coiled-coil domains 1,protein-coding
